datetime; open; high; low; close; volume; suspicious
23156000;2159500;2159500;2159500;2159500;200;0
25625000;2163500;2163500;2163500;2163500;100;0
28178000;2165000;2165000;2165000;2165000;100;0
28503000;2165000;2165000;2165000;2165000;25;0
28667000;2164700;2164700;2164700;2164700;69;0
28869000;2164800;2164800;2164800;2164800;100;0
29099000;2164700;2164700;2164700;2164700;500;0
29108000;2164700;2164700;2164700;2164700;500;0
29342000;2164700;2164700;2164700;2164700;500;0
29543000;2164700;2164800;2164700;2164800;150;0
29644000;2165300;2165300;2165300;2165300;100;0
29709000;2165300;2165300;2165300;2165300;100;0
29992000;2164700;2164700;2164700;2164700;500;0
30133000;2164700;2164700;2164700;2164700;800;0
30230000;2164600;2164600;2164600;2164600;100;0
31176000;2164100;2164100;2164100;2164100;100;0
32718000;2162600;2162600;2162600;2162600;6;0
33289000;2163200;2163200;2163200;2163200;100;0
33922000;2163400;2163400;2163400;2163400;200;0
34027000;2163200;2163200;2163200;2163200;200;0
34199000;2163200;2163200;2163200;2163200;2613;0
34200000;2163100;2163200;2162900;2163000;50017;0
34201000;2163000;2163100;2163000;2163100;608;0
34202000;2163100;2163100;2163000;2163100;52;0
34203000;2163000;2163000;2162900;2163000;1177;0
34204000;2163100;2163100;2162999;2162999;2306;0
34205000;2163100;2163100;2163000;2163000;974;0
34206000;2163000;2163100;2163000;2163100;395;0
34207000;2162999;2163100;2162999;2163100;418;0
34209000;2163000;2163000;2163000;2163000;100;0
34210000;2163000;2163100;2162900;2162900;4767;0
34211000;2162800;2162800;2162800;2162800;900;0
34212000;2162900;2162900;2162900;2162900;1;0
34213000;2163200;2163200;2162900;2162900;600;0
34215000;2162800;2162800;2162800;2162800;300;0
34217000;2162700;2162700;2162300;2162300;714;0
34220000;2162500;2162500;2162500;2162500;200;0
34221000;2162548;2162548;2162548;2162548;500;0
34222000;2162500;2162500;2162400;2162400;200;0
34224000;2162400;2162400;2162400;2162400;400;0
34227000;2162600;2162600;2162600;2162600;4;0
34228000;2162500;2162500;2162400;2162400;1800;0
34229000;2162524;2162524;2162500;2162500;2607;0
34232000;2162701;2162701;2162600;2162600;781;0
34233000;2162600;2162600;2162565;2162565;222;0
34236000;2162500;2162500;2162500;2162500;500;0
34242000;2162500;2162500;2162500;2162500;500;0
34245000;2162503;2162503;2162503;2162503;100;0
34249000;2162600;2162600;2162600;2162600;200;0
34250000;2162500;2162500;2162500;2162500;200;0
34253000;2162500;2162500;2162300;2162300;6132;0
34255000;2162300;2162300;2162300;2162300;1;0
34260000;2162399;2162400;2162200;2162200;626;0
34262000;2162300;2162300;2162200;2162200;1000;0
34263000;2162250;2162250;2162250;2162250;100;0
34270000;2162400;2162400;2162400;2162400;100;0
34271000;2162500;2162500;2162500;2162500;100;0
34274000;2162500;2162600;2162500;2162500;2214;0
34275000;2162600;2162600;2162500;2162600;3600;0
34276000;2162600;2162600;2162500;2162500;2100;0
34277000;2162600;2162600;2162600;2162600;846;0
34278000;2162600;2162600;2162500;2162600;4089;0
34280000;2162600;2162600;2162600;2162600;100;0
34281000;2162550;2162600;2162500;2162500;5871;0
34282000;2162500;2162500;2162500;2162500;1400;0
34284000;2162400;2162400;2162300;2162400;1710;0
34290000;2162399;2162399;2162300;2162300;195;0
34293000;2162300;2162300;2162300;2162300;100;0
34294000;2162400;2162400;2162300;2162300;200;0
34306000;2162499;2162499;2162499;2162499;6;0
34313000;2162399;2162399;2162399;2162399;6;0
34316000;2162400;2162400;2162400;2162400;1;0
34320000;2162400;2162400;2162399;2162400;658;0
34321000;2162350;2162350;2162300;2162300;1605;0
34322000;2162300;2162300;2162300;2162300;4223;0
34323000;2162400;2162400;2162300;2162300;500;0
34324000;2162300;2162300;2162300;2162300;100;0
34325000;2162300;2162300;2162300;2162300;2000;0
34327000;2162300;2162300;2162300;2162300;2605;0
34328000;2162200;2162200;2162100;2162100;503;0
34329000;2162000;2162000;2162000;2162000;101;0
34330000;2162000;2162000;2162000;2162000;200;0
34331000;2162000;2162000;2161900;2161900;501;0
34332000;2161800;2161800;2161799;2161799;1611;0
34335000;2161700;2161700;2161400;2161499;4952;0
34336000;2161400;2161600;2161400;2161600;1500;0
34337000;2161500;2161500;2161500;2161500;100;0
34338000;2161600;2161650;2161600;2161650;200;0
34342000;2161600;2161600;2161600;2161600;300;0
34344000;2161700;2161700;2161700;2161700;76;0
34348000;2161607;2161607;2161607;2161607;39;0
34350000;2161600;2161600;2161600;2161600;100;0
34354000;2161500;2161500;2161500;2161500;100;0
34356000;2161500;2161500;2161500;2161500;100;0
34357000;2161500;2161500;2161500;2161500;2;0
34361000;2161500;2161500;2161500;2161500;100;0
34362000;2161500;2161500;2161500;2161500;200;0
34363000;2161500;2161500;2161500;2161500;100;0
34365000;2161400;2161400;2161400;2161400;100;0
34366000;2161400;2161400;2161400;2161400;100;0
34367000;2161200;2161200;2161200;2161200;500;0
34368000;2161200;2161200;2161100;2161200;1300;0
34369000;2161200;2161200;2161200;2161200;100;0
34370000;2161300;2161400;2161300;2161400;538;0
34373000;2161400;2161400;2161300;2161300;200;0
34378000;2161400;2161400;2161400;2161400;106;0
34393000;2161500;2161500;2161500;2161500;2400;0
34394000;2161400;2161400;2161400;2161400;600;0
34396000;2161500;2161500;2161500;2161500;400;0
34398000;2161500;2161500;2161500;2161500;300;0
34399000;2161500;2161500;2161500;2161500;200;0
34402000;2161500;2161500;2161500;2161500;500;0
34405000;2161500;2161500;2161500;2161500;200;0
34407000;2161500;2161500;2161500;2161500;100;0
34408000;2161400;2161400;2161400;2161400;125;0
34409000;2161461;2161461;2161400;2161400;300;0
34410000;2161500;2161500;2161400;2161400;2700;0
34412000;2161400;2161400;2161400;2161400;100;0
34422000;2161500;2161500;2161500;2161500;100;0
34423000;2161500;2161500;2161500;2161500;300;0
34425000;2161400;2161400;2161400;2161400;580;0
34426000;2161500;2161500;2161500;2161500;3035;0
34428000;2161400;2161400;2161400;2161400;100;0
34430000;2161500;2161500;2161470;2161500;4000;0
34431000;2161400;2161400;2161400;2161400;10;0
34432000;2161492;2161492;2161492;2161492;400;0
34433000;2161400;2161400;2161300;2161300;622;0
34434000;2161300;2161300;2161300;2161300;300;0
34435000;2161300;2161300;2161300;2161300;500;0
34436000;2161300;2161300;2161300;2161300;2201;0
34442000;2161409;2161409;2161409;2161409;200;0
34455000;2161400;2161400;2161400;2161400;100;0
34463000;2161500;2161500;2161500;2161500;604;0
