datetime; open; high; low; close; volume; suspicious
34200000;334700;334700;334700;334700;8564;0
34212000;334800;334800;334700;334700;500;0
34266000;334690;334690;334690;334690;11;0
34306000;334600;334600;334600;334600;1505;0
34332000;334500;334500;334500;334500;100;0
34407000;334499;334499;334499;334499;1000;0
34488000;334500;334500;334500;334500;100;0
34544000;334600;334600;334600;334600;800;0
34559000;334490;334490;334490;334490;500;0
34578000;334500;334500;334500;334500;36;0
34579000;334500;334500;334450;334500;1126;0
34583000;334500;334500;334450;334450;359;0
34587000;334500;334500;334500;334500;500;0
34611000;334500;334500;334500;334500;27;0
34627000;334493;334493;334493;334493;25;0
34646000;334455;334455;334455;334455;100;0
34746000;334500;334500;334500;334500;200;0
34801000;334500;334500;334500;334500;1345;0
34803000;334500;334500;334500;334500;100;0
34809000;334600;334600;334600;334600;306;0
34816000;334600;334600;334600;334600;100;0
34826000;334600;334600;334600;334600;200;0
34836000;334600;334600;334600;334600;100;0
34840000;334599;334599;334599;334599;500;0
34850000;334600;334600;334600;334600;1008;0
34856000;334600;334600;334600;334600;100;0
34887000;334500;334500;334500;334500;600;0
34889000;334400;334400;334300;334400;1183;0
34912000;334300;334300;334300;334300;200;0
34913000;334300;334300;334300;334300;100;0
34926000;334400;334400;334400;334400;100;0
34935000;334400;334400;334400;334400;600;0
34947000;334400;334400;334400;334400;400;0
34984000;334300;334300;334300;334300;100;0
34992000;334400;334400;334400;334400;200;0
34999000;334300;334300;334300;334300;190;0
35004000;334400;334400;334400;334400;200;0
35018000;334400;334400;334400;334400;100;0
35021000;334500;334500;334500;334500;1;0
35030000;334400;334400;334400;334400;20;0
35058000;334437;334437;334437;334437;200;0
35070000;334500;334600;334500;334600;300;0
35080000;334500;334500;334500;334500;600;0
35089000;334500;334500;334500;334500;200;0
35094000;334500;334500;334500;334500;100;0
35104000;334600;334600;334600;334600;200;0
35111000;334700;334700;334700;334700;400;0
35116000;334600;334600;334600;334600;100;0
35119000;334600;334600;334600;334600;100;0
35122000;334600;334600;334600;334600;200;0
35129000;334662;334662;334662;334662;120;0
35134000;334600;334600;334600;334600;100;0
35137000;334600;334600;334600;334600;300;0
35139000;334700;334700;334700;334700;200;0
35143000;334700;334700;334700;334700;300;0
35215000;334700;334700;334700;334700;300;0
35244000;334650;334700;334650;334700;3618;0
35260000;334800;334800;334800;334800;500;0
35262000;334700;334700;334700;334700;1500;0
35277000;334700;334700;334700;334700;150;0
35310000;334700;334700;334700;334700;100;0
35324000;334700;334700;334700;334700;9;0
35333000;334700;334700;334700;334700;300;0
35343000;334790;334790;334790;334790;25;0
35380000;334752;334752;334752;334752;222;0
35389000;334700;334700;334700;334700;11;0
35419000;334600;334600;334600;334600;1300;0
35454000;334600;334600;334600;334600;874;0
35457000;334600;334600;334600;334600;400;0
35469000;334600;334600;334600;334600;600;0
35474000;334600;334600;334600;334600;300;0
35479000;334655;334655;334655;334655;100;0
35487000;334600;334600;334600;334600;300;0
35509000;334600;334600;334600;334600;100;0
35510000;334600;334600;334600;334600;300;0
35521000;334600;334600;334600;334600;200;0
35529000;334600;334600;334600;334600;200;0
35541000;334590;334590;334590;334590;10;0
35553000;334500;334500;334500;334500;100;0
35554000;334500;334500;334500;334500;200;0
35579000;334600;334600;334600;334600;100;0
35588000;334700;334700;334700;334700;200;0
35601000;334700;334700;334700;334700;100;0
35605000;334700;334700;334700;334700;500;0
35612000;334700;334700;334700;334700;700;0
35624000;334600;334600;334600;334600;200;0
