datetime; open; high; low; close; volume; suspicious
14668000;1423700;1423700;1423700;1423700;1000;0
15198000;1423000;1423000;1423000;1423000;1;0
15280000;1422700;1422700;1422700;1422700;2775;0
16274000;1423100;1423100;1423100;1423100;3;0
18175000;1422900;1422900;1422900;1422900;1;0
18195000;1422700;1422700;1422500;1422500;5;0
18204000;1422400;1422400;1422400;1422400;1;0
18255000;1422200;1422200;1422200;1422200;1;0
18258000;1422100;1422100;1422100;1422100;1;0
18276000;1421800;1421800;1421800;1421800;300;0
18280000;1421800;1421800;1421800;1421800;100;0
18602000;1422200;1422200;1422200;1422200;200;0
18614000;1422100;1422100;1422100;1422100;20;0
18631000;1422200;1422200;1422200;1422200;10;0
18998000;1422100;1422100;1422100;1422100;300;0
19048000;1422000;1422000;1422000;1422000;800;0
19049000;1421900;1421900;1421800;1421800;2;0
19272000;1422000;1422000;1422000;1422000;10;0
19410000;1421700;1421700;1421700;1421700;1;0
19720000;1421700;1421700;1421700;1421700;100;0
19807000;1421800;1421800;1421800;1421800;200;0
20163000;1421900;1421900;1421900;1421900;1;0
20344000;1421600;1421600;1421600;1421600;100;0
20355000;1421600;1421600;1421600;1421600;100;0
20536000;1422200;1422200;1422200;1422200;800;0
20659000;1422200;1422200;1422200;1422200;300;0
20874000;1422100;1422100;1422100;1422100;20;0
20902000;1422100;1422100;1422100;1422100;80;0
20935000;1422200;1422200;1422200;1422200;800;0
21000000;1422100;1422100;1422100;1422100;500;0
21136000;1422200;1422200;1422200;1422200;2500;0
21145000;1422200;1422300;1422200;1422300;701;0
21300000;1422100;1422100;1422100;1422100;3;0
21491000;1422200;1422200;1422200;1422200;500;0
21495000;1422400;1422400;1422400;1422400;2;0
21549000;1422700;1422700;1422700;1422700;1;0
22298000;1422900;1422900;1422900;1422900;1;0
22324000;1423000;1423000;1423000;1423000;1;0
22344000;1423100;1423100;1423100;1423100;4;0
22441000;1423300;1423300;1423300;1423300;1;0
22450000;1423400;1423400;1423400;1423400;1;0
22513000;1423500;1423500;1423500;1423500;100;0
22517000;1423500;1423700;1423500;1423700;112;0
22521000;1423800;1423800;1423800;1423800;100;0
22525000;1423800;1423900;1423800;1423900;106;0
22526000;1424100;1424100;1424100;1424100;2;0
22550000;1423900;1423900;1423900;1423900;50;0
22556000;1424100;1424100;1424100;1424100;200;0
22559000;1423900;1423900;1423900;1423900;49;0
22566000;1423800;1423800;1423800;1423800;10;0
22578000;1423900;1423900;1423900;1423900;5;0
22589000;1424100;1424100;1424100;1424100;300;0
22595000;1424100;1424100;1424100;1424100;700;0
