datetime; open; high; low; close; volume; suspicious
14400000;2455000;2455000;2455000;2455000;5;0
14843000;2455400;2455400;2455400;2455400;4000;0
14875000;2455100;2455100;2455100;2455100;4000;0
15291000;2454900;2454900;2454900;2454900;10;0
16219000;2455300;2455400;2455300;2455400;3;0
16274000;2455500;2455900;2455500;2455900;5504;0
16919000;2455600;2455600;2455600;2455600;100;0
17059000;2455500;2455500;2455500;2455500;2;0
17161000;2455300;2455300;2455300;2455300;200;0
18081000;2455200;2455200;2455200;2455200;1;0
18141000;2455100;2455100;2455100;2455100;200;0
18175000;2455100;2455100;2454900;2454900;200;0
18179000;2454700;2454700;2454700;2454700;100;0
18180000;2454600;2454600;2454600;2454600;1;0
18195000;2454400;2454400;2454300;2454300;2;0
18204000;2454200;2454200;2454200;2454200;1;0
18243000;2454100;2454100;2454100;2454100;1000;0
18258000;2454100;2454100;2453800;2453800;102;0
18270000;2453700;2453700;2453700;2453700;1;0
18286000;2453500;2453500;2453400;2453400;503;0
18477000;2453600;2453700;2453600;2453700;2;0
18905000;2453400;2453400;2453300;2453300;1102;0
19048000;2453100;2453100;2453100;2453100;1;0
19118000;2453300;2453300;2453300;2453300;1;0
19149000;2453600;2453700;2453600;2453700;2;0
19404000;2453400;2453400;2453300;2453300;201;0
19871000;2453100;2453100;2453100;2453100;1;0
19883000;2453000;2453000;2453000;2453000;106;0
20212000;2453300;2453300;2453300;2453300;1;0
20364000;2453300;2453300;2453300;2453300;100;0
20446000;2453600;2453700;2453600;2453700;2;0
20536000;2453900;2453900;2453900;2453900;2;0
20691000;2454100;2454100;2454100;2454100;3000;0
21145000;2454200;2454200;2454200;2454200;2;0
21422000;2454500;2454500;2454500;2454500;1;0
21428000;2454300;2454300;2454300;2454300;1;0
21766000;2454500;2454500;2454500;2454500;300;0
21864000;2454500;2454500;2454500;2454500;300;0
21895000;2454500;2454600;2454500;2454500;301;0
21919000;2454300;2454300;2454200;2454200;2;0
22183000;2454500;2454500;2454500;2454500;25;0
22201000;2454500;2454500;2454500;2454500;300;0
22277000;2454500;2454700;2454500;2454700;4179;0
22289000;2454800;2454800;2454800;2454800;25;0
22330000;2454900;2454900;2454900;2454900;25;0
22344000;2454900;2454900;2454900;2454900;25;0
22361000;2454900;2455100;2454900;2455100;151;0
22366000;2455200;2455200;2455200;2455200;4001;0
22403000;2455300;2455400;2455300;2455400;4;0
22438000;2455600;2455600;2455600;2455600;500;0
22440000;2455600;2455600;2455600;2455600;3000;0
22441000;2455600;2455700;2455600;2455700;501;0
22442000;2455700;2455700;2455700;2455700;200;0
22491000;2455800;2455800;2455800;2455800;500;0
22493000;2455800;2455800;2455800;2455800;1;0
22497000;2455900;2455900;2455900;2455900;2498;0
22517000;2456000;2456400;2456000;2456400;3;0
22524000;2456400;2456400;2456400;2456400;1;0
22525000;2456500;2456500;2456500;2456500;10;0
22526000;2456700;2456800;2456700;2456700;2108;0
22529000;2456700;2456700;2456700;2456700;1;0
22545000;2456900;2456900;2456900;2456900;1;0
22565000;2457100;2457100;2457100;2457100;2000;0
22569000;2457100;2457100;2457100;2457100;10;0
22604000;2456700;2456700;2456700;2456700;10;0
22654000;2456800;2456800;2456800;2456800;200;0
22790000;2457100;2457100;2457100;2457100;100;0
22805000;2457100;2457100;2457100;2457100;100;0
22806000;2457200;2457200;2457200;2457200;1;0
22852000;2457300;2457300;2457300;2457300;400;0
22930000;2457000;2457000;2457000;2457000;1;0
22944000;2456700;2456700;2456700;2456700;1;0
23368000;2456800;2456800;2456800;2456800;329;0
23414000;2456800;2456800;2456800;2456800;50;0
23681000;2456500;2456500;2456300;2456300;8003;0
24195000;2456300;2456300;2456300;2456300;300;0
24201000;2456300;2456300;2456300;2456300;200;0
24901000;2456200;2456200;2456200;2456200;10000;0
24994000;2456100;2456100;2456100;2456100;1;0
25081000;2456000;2456000;2456000;2456000;4001;0
25102000;2456000;2456000;2456000;2456000;1461;0
25154000;2456300;2456300;2456300;2456300;2;0
25170000;2456200;2456200;2456200;2456200;100;0
25205000;2456400;2456400;2456400;2456400;969;0
25208000;2456400;2456400;2456400;2456400;969;0
25209000;2456500;2456500;2456500;2456500;5000;0
25210000;2456600;2456700;2456600;2456700;2;0
25214000;2456700;2456700;2456700;2456700;969;0
25218000;2456800;2457200;2456800;2457200;4552;0
25221000;2456900;2456900;2456900;2456900;969;0
25224000;2456900;2456900;2456900;2456900;969;0
25226000;2456900;2456900;2456900;2456900;969;0
25228000;2456900;2456900;2456900;2456900;969;0
25231000;2456900;2456900;2456900;2456900;969;0
25233000;2456900;2456900;2456900;2456900;969;0
25237000;2456900;2456900;2456900;2456900;969;0
25240000;2456900;2456900;2456900;2456900;969;0
25248000;2457200;2457200;2457200;2457200;4301;0
25267000;2457200;2457200;2457200;2457200;969;0
25270000;2457200;2457200;2457200;2457200;969;0
25281000;2457200;2457200;2457200;2457200;969;0
25291000;2457200;2457200;2457200;2457200;1018;0
25313000;2457200;2457200;2457200;2457200;2000;0
25355000;2457200;2457200;2456800;2456800;22014;0
25441000;2456800;2456800;2456700;2456700;3501;0
25502000;2456800;2456800;2456800;2456800;1000;0
25504000;2456800;2456800;2456800;2456800;1400;0
25572000;2456500;2456500;2456500;2456500;1;0
25637000;2456600;2456600;2456600;2456600;100;0
25793000;2456400;2456400;2456400;2456400;4001;0
25806000;2456400;2456400;2456400;2456400;5999;0
25914000;2456600;2456800;2456600;2456800;251;0
26132000;2456800;2456800;2456800;2456800;100;0
26456000;2456400;2456400;2456400;2456400;970;0
26489000;2456300;2456300;2456300;2456300;1;0
26511000;2456100;2456100;2456000;2456000;2000;0
26518000;2456000;2456000;2455900;2455900;10261;0
26593000;2456000;2456400;2456000;2456400;1302;0
26691000;2456400;2456400;2456400;2456400;3700;0
26717000;2456300;2456300;2456300;2456300;2000;0
26790000;2456300;2456300;2456300;2456300;100;0
26809000;2456400;2456400;2456400;2456400;969;0
26934000;2456400;2456400;2456400;2456400;1018;0
27063000;2456600;2456600;2456600;2456600;106;0
27102000;2456600;2456600;2456600;2456600;100;0
