open;high;low;close;volume;datetime;gap;timestamp
35.2;35.2;35.2;35.2;10.0;2015-01-02 09:15:00;0.0;1420190100
35.21;35.31;35.2;35.31;38504.0;2015-01-02 09:30:00;0.0;1420191000
35.3;35.31;35.21;35.27;58492.0;2015-01-02 09:45:00;0.0;1420191900
35.29;35.3302;35.22;35.3302;52096.0;2015-01-02 10:00:00;0.0;1420192800
35.31;35.31;35.15;35.21;159973.0;2015-01-02 10:15:00;0.0;1420193700
35.21;35.21;34.99;35.02;79711.0;2015-01-02 10:30:00;0.0;1420194600
35.03;35.13;35.03;35.11;46946.0;2015-01-02 10:45:00;0.0;1420195500
35.06;35.06;34.92;35.01;54786.0;2015-01-02 11:00:00;0.0;1420196400
35.02;35.14;34.97;35.08;23835.0;2015-01-02 11:15:00;0.0;1420197300
35.1;35.11;34.98;34.98;59149.0;2015-01-02 11:30:00;0.0;1420198200
34.96;34.9664;34.92;34.95;11442.0;2015-01-02 11:45:00;0.0;1420199100
34.95;35.0002;34.95;34.99;13753.0;2015-01-02 12:00:00;0.0;1420200000
34.97;34.988;34.96;34.97;8282.0;2015-01-02 12:15:00;0.0;1420200900
34.97;34.99;34.95;34.96;35255.0;2015-01-02 12:30:00;0.0;1420201800
34.94;34.945;34.91;34.93;35790.0;2015-01-02 12:45:00;0.0;1420202700
34.93;34.97;34.921;34.96;17072.0;2015-01-02 13:00:00;0.0;1420203600
34.9449;34.968;34.9;34.9099;23335.0;2015-01-02 13:15:00;0.0;1420204500
34.91;34.931;34.89;34.93;11736.0;2015-01-02 13:30:00;0.0;1420205400
34.93;34.97;34.9;34.9501;5887.0;2015-01-02 13:45:00;0.0;1420206300
34.95;35.0;34.95;35.0;4845.0;2015-01-02 14:00:00;0.0;1420207200
34.98;34.99;34.945;34.945;6227.0;2015-01-02 14:15:00;0.0;1420208100
34.94;35.0;34.94;34.98;34627.0;2015-01-02 14:30:00;0.0;1420209000
34.99;35.01;34.945;34.945;8481.0;2015-01-02 14:45:00;0.0;1420209900
34.95;34.99;34.91;34.919;33199.0;2015-01-02 15:00:00;0.0;1420210800
34.92;34.98;34.92;34.9701;19980.0;2015-01-02 15:15:00;0.0;1420211700
34.97;35.001;34.96;35.0;17424.0;2015-01-02 15:30:00;0.0;1420212600
35.01;35.08;35.0;35.0;147067.0;2015-01-02 15:45:00;0.0;1420213500
35.0;35.0;34.98;34.98;37525.0;2015-01-02 16:00:00;0.0;1420214400
34.98;34.98;34.98;34.98;0.0;2015-01-02 16:15:00;1.0;1420215300
34.98;34.98;34.98;34.98;0.0;2015-01-02 16:30:00;1.0;1420216200
34.98;34.98;34.98;34.98;0.0;2015-01-02 16:45:00;1.0;1420217100
34.98;34.98;34.98;34.98;0.0;2015-01-02 17:00:00;1.0;1420218000
34.98;34.98;34.98;34.98;0.0;2015-01-02 17:15:00;1.0;1420218900
34.98;34.98;34.98;34.98;0.0;2015-01-02 17:30:00;1.0;1420219800
34.98;34.98;34.98;34.98;0.0;2015-01-02 17:45:00;1.0;1420220700
34.98;34.98;34.98;34.98;0.0;2015-01-02 18:00:00;1.0;1420221600
34.98;34.98;34.98;34.98;0.0;2015-01-02 18:15:00;1.0;1420222500
34.98;34.98;34.98;34.98;0.0;2015-01-02 18:30:00;1.0;1420223400
34.98;34.98;34.98;34.98;0.0;2015-01-02 18:45:00;1.0;1420224300
34.98;34.98;34.98;34.98;0.0;2015-01-02 19:00:00;1.0;1420225200
34.98;34.98;34.98;34.98;0.0;2015-01-02 19:15:00;1.0;1420226100
34.98;34.98;34.98;34.98;0.0;2015-01-02 19:30:00;1.0;1420227000
34.98;34.98;34.98;34.98;0.0;2015-01-02 19:45:00;1.0;1420227900
34.98;34.98;34.98;34.98;0.0;2015-01-02 20:00:00;1.0;1420228800
34.98;34.98;34.98;34.98;0.0;2015-01-02 20:15:00;1.0;1420229700
34.98;34.98;34.98;34.98;0.0;2015-01-02 20:30:00;1.0;1420230600
34.98;34.98;34.98;34.98;0.0;2015-01-02 20:45:00;1.0;1420231500
34.98;34.98;34.98;34.98;0.0;2015-01-02 21:00:00;1.0;1420232400
34.98;34.98;34.98;34.98;0.0;2015-01-02 21:15:00;1.0;1420233300
34.98;34.98;34.98;34.98;0.0;2015-01-02 21:30:00;1.0;1420234200
34.98;34.98;34.98;34.98;0.0;2015-01-02 21:45:00;1.0;1420235100
34.98;34.98;34.98;34.98;0.0;2015-01-02 22:00:00;1.0;1420236000
34.98;34.98;34.98;34.98;0.0;2015-01-02 22:15:00;1.0;1420236900
34.98;34.98;34.98;34.98;0.0;2015-01-02 22:30:00;1.0;1420237800
34.98;34.98;34.98;34.98;0.0;2015-01-02 22:45:00;1.0;1420238700
34.98;34.98;34.98;34.98;0.0;2015-01-02 23:00:00;1.0;1420239600
34.98;34.98;34.98;34.98;0.0;2015-01-02 23:15:00;1.0;1420240500
34.98;34.98;34.98;34.98;0.0;2015-01-02 23:30:00;1.0;1420241400
34.98;34.98;34.98;34.98;0.0;2015-01-02 23:45:00;1.0;1420242300
34.98;34.98;34.98;34.98;0.0;2015-01-05 00:00:00;1.0;1420416000
34.98;34.98;34.98;34.98;0.0;2015-01-05 00:15:00;1.0;1420416900
34.98;34.98;34.98;34.98;0.0;2015-01-05 00:30:00;1.0;1420417800
34.98;34.98;34.98;34.98;0.0;2015-01-05 00:45:00;1.0;1420418700
34.98;34.98;34.98;34.98;0.0;2015-01-05 01:00:00;1.0;1420419600
34.98;34.98;34.98;34.98;0.0;2015-01-05 01:15:00;1.0;1420420500
34.98;34.98;34.98;34.98;0.0;2015-01-05 01:30:00;1.0;1420421400
34.98;34.98;34.98;34.98;0.0;2015-01-05 01:45:00;1.0;1420422300
34.98;34.98;34.98;34.98;0.0;2015-01-05 02:00:00;1.0;1420423200
34.98;34.98;34.98;34.98;0.0;2015-01-05 02:15:00;1.0;1420424100
34.98;34.98;34.98;34.98;0.0;2015-01-05 02:30:00;1.0;1420425000
34.98;34.98;34.98;34.98;0.0;2015-01-05 02:45:00;1.0;1420425900
34.98;34.98;34.98;34.98;0.0;2015-01-05 03:00:00;1.0;1420426800
34.98;34.98;34.98;34.98;0.0;2015-01-05 03:15:00;1.0;1420427700
34.98;34.98;34.98;34.98;0.0;2015-01-05 03:30:00;1.0;1420428600
34.98;34.98;34.98;34.98;0.0;2015-01-05 03:45:00;1.0;1420429500
34.98;34.98;34.98;34.98;0.0;2015-01-05 04:00:00;1.0;1420430400
34.98;34.98;34.98;34.98;0.0;2015-01-05 04:15:00;1.0;1420431300
34.98;34.98;34.98;34.98;0.0;2015-01-05 04:30:00;1.0;1420432200
34.98;34.98;34.98;34.98;0.0;2015-01-05 04:45:00;1.0;1420433100
34.98;34.98;34.98;34.98;0.0;2015-01-05 05:00:00;1.0;1420434000
34.98;34.98;34.98;34.98;0.0;2015-01-05 05:15:00;1.0;1420434900
34.98;34.98;34.98;34.98;0.0;2015-01-05 05:30:00;1.0;1420435800
34.98;34.98;34.98;34.98;0.0;2015-01-05 05:45:00;1.0;1420436700
34.98;34.98;34.98;34.98;0.0;2015-01-05 06:00:00;1.0;1420437600
34.98;34.98;34.98;34.98;0.0;2015-01-05 06:15:00;1.0;1420438500
34.98;34.98;34.98;34.98;0.0;2015-01-05 06:30:00;1.0;1420439400
34.98;34.98;34.98;34.98;0.0;2015-01-05 06:45:00;1.0;1420440300
34.98;34.98;34.98;34.98;0.0;2015-01-05 07:00:00;1.0;1420441200
34.98;34.98;34.98;34.98;0.0;2015-01-05 07:15:00;1.0;1420442100
34.98;34.98;34.98;34.98;0.0;2015-01-05 07:30:00;1.0;1420443000
34.98;34.98;34.98;34.98;0.0;2015-01-05 07:45:00;1.0;1420443900
34.98;34.98;34.98;34.98;0.0;2015-01-05 08:00:00;1.0;1420444800
34.98;34.98;34.98;34.98;0.0;2015-01-05 08:15:00;1.0;1420445700
34.98;34.98;34.98;34.98;0.0;2015-01-05 08:30:00;1.0;1420446600
34.98;34.98;34.98;34.98;0.0;2015-01-05 08:45:00;1.0;1420447500
34.98;34.98;34.98;34.98;0.0;2015-01-05 09:00:00;1.0;1420448400
34.04;34.04;34.02;34.02;2504.0;2015-01-05 09:15:00;0.0;1420449300
34.04;34.04;33.7501;33.8674;93922.0;2015-01-05 09:30:00;0.0;1420450200
33.84;33.86;33.64;33.77;115465.0;2015-01-05 09:45:00;0.0;1420451100
33.77;33.87;33.7;33.8045;56217.0;2015-01-05 10:00:00;0.0;1420452000
33.79;33.87;33.75;33.75;48721.0;2015-01-05 10:15:00;0.0;1420452900
33.74;33.77;33.649;33.68;24397.0;2015-01-05 10:30:00;0.0;1420453800
33.66;33.72;33.6363;33.7;43671.0;2015-01-05 10:45:00;0.0;1420454700
33.6899;33.6899;33.565;33.6;25273.0;2015-01-05 11:00:00;0.0;1420455600
33.58;33.6;33.4901;33.5;24004.0;2015-01-05 11:15:00;0.0;1420456500
33.49;33.6;33.45;33.59;14112.0;2015-01-05 11:30:00;0.0;1420457400
33.595;33.64;33.56;33.56;16836.0;2015-01-05 11:45:00;0.0;1420458300
33.55;33.57;33.52;33.529;56216.0;2015-01-05 12:00:00;0.0;1420459200
33.52;33.52;33.46;33.485;23962.0;2015-01-05 12:15:00;0.0;1420460100
33.49;33.57;33.46;33.56;30785.0;2015-01-05 12:30:00;0.0;1420461000
33.5699;33.5699;33.46;33.509;57018.0;2015-01-05 12:45:00;0.0;1420461900
33.5;33.52;33.47;33.49;43426.0;2015-01-05 13:00:00;0.0;1420462800
33.47;33.5;33.46;33.49;43386.0;2015-01-05 13:15:00;0.0;1420463700
33.4835;33.5601;33.47;33.5;18076.0;2015-01-05 13:30:00;0.0;1420464600
33.51;33.57;33.4964;33.54;15972.0;2015-01-05 13:45:00;0.0;1420465500
33.55;33.57;33.49;33.5;14039.0;2015-01-05 14:00:00;0.0;1420466400
33.5;33.5745;33.49;33.54;20940.0;2015-01-05 14:15:00;0.0;1420467300
33.52;33.54;33.489;33.4899;13874.0;2015-01-05 14:30:00;0.0;1420468200
33.4858;33.55;33.48;33.5;44825.0;2015-01-05 14:45:00;0.0;1420469100
33.49;33.5701;33.49;33.541;17652.0;2015-01-05 15:00:00;0.0;1420470000
33.56;33.61;33.5301;33.54;11037.0;2015-01-05 15:15:00;0.0;1420470900
33.5499;33.625;33.54;33.58;23250.0;2015-01-05 15:30:00;0.0;1420471800
33.57;33.62;33.52;33.53;131288.0;2015-01-05 15:45:00;0.0;1420472700
33.52;33.53;33.52;33.53;126043.0;2015-01-05 16:00:00;0.0;1420473600
33.52;33.52;33.52;33.52;1.0;2015-01-05 16:15:00;0.0;1420474500
33.52;33.52;33.52;33.52;21000.0;2015-01-05 16:30:00;0.0;1420475400
33.52;33.52;33.52;33.52;0.0;2015-01-05 16:45:00;1.0;1420476300
33.52;33.52;33.52;33.52;0.0;2015-01-05 17:00:00;1.0;1420477200
33.52;33.52;33.52;33.52;0.0;2015-01-05 17:15:00;1.0;1420478100
33.52;33.52;33.52;33.52;0.0;2015-01-05 17:30:00;1.0;1420479000
33.52;33.52;33.52;33.52;0.0;2015-01-05 17:45:00;1.0;1420479900
33.52;33.52;33.52;33.52;0.0;2015-01-05 18:00:00;1.0;1420480800
33.52;33.52;33.52;33.52;0.0;2015-01-05 18:15:00;1.0;1420481700
33.52;33.52;33.52;33.52;0.0;2015-01-05 18:30:00;1.0;1420482600
33.52;33.52;33.52;33.52;0.0;2015-01-05 18:45:00;1.0;1420483500
33.52;33.52;33.52;33.52;0.0;2015-01-05 19:00:00;1.0;1420484400
33.52;33.52;33.52;33.52;0.0;2015-01-05 19:15:00;1.0;1420485300
33.52;33.52;33.52;33.52;0.0;2015-01-05 19:30:00;1.0;1420486200
33.52;33.52;33.52;33.52;0.0;2015-01-05 19:45:00;1.0;1420487100
33.52;33.52;33.52;33.52;0.0;2015-01-05 20:00:00;1.0;1420488000
33.52;33.52;33.52;33.52;0.0;2015-01-05 20:15:00;1.0;1420488900
33.52;33.52;33.52;33.52;0.0;2015-01-05 20:30:00;1.0;1420489800
33.52;33.52;33.52;33.52;0.0;2015-01-05 20:45:00;1.0;1420490700
33.52;33.52;33.52;33.52;0.0;2015-01-05 21:00:00;1.0;1420491600
33.52;33.52;33.52;33.52;0.0;2015-01-05 21:15:00;1.0;1420492500
33.52;33.52;33.52;33.52;0.0;2015-01-05 21:30:00;1.0;1420493400
33.52;33.52;33.52;33.52;0.0;2015-01-05 21:45:00;1.0;1420494300
33.52;33.52;33.52;33.52;0.0;2015-01-05 22:00:00;1.0;1420495200
33.52;33.52;33.52;33.52;0.0;2015-01-05 22:15:00;1.0;1420496100
33.52;33.52;33.52;33.52;0.0;2015-01-05 22:30:00;1.0;1420497000
33.52;33.52;33.52;33.52;0.0;2015-01-05 22:45:00;1.0;1420497900
33.52;33.52;33.52;33.52;0.0;2015-01-05 23:00:00;1.0;1420498800
33.52;33.52;33.52;33.52;0.0;2015-01-05 23:15:00;1.0;1420499700
