n_row,new_switch,cur_switch,current_model_id,new_model_id,weights,ts,ret_ts,ts_n1_pre,ts_n2_pre,ts_n1_post,ts_n2_post
0,NONE,NONE,1,-1,"(1, 0)",227.47200646944404,0.00021096428091720623,227.4734915815985,408.3652078174658,229.13434230005987,227.61018027565896
1,NONE,NONE,1,-1,"(1, 0)",227.42402306274084,0.00021096428091720623,227.42770375310624,970.0120359347702,236.79278060433958,228.2029210391993
2,NONE,NONE,1,-1,"(1, 0)",227.37604977775482,0.00021096428091720623,227.3862702559467,12773.133041806534,221.25407698120486,226.86697498650906
3,NONE,NONE,1,-1,"(1, 0)",227.3280866123509,0.00021096428091720623,227.33808241281926,11697.878057175585,207.75257795050823,225.69993489041423
4,NONE,NONE,1,-1,"(1, 0)",227.31538127642594,5.589142625221152e-05,227.32506947829575,7407.069973979917,236.35929307899778,228.06763164423185
5,NONE,NONE,1,-1,"(1, 0)",227.30058225533926,6.510559363963413e-05,227.31011008298103,6039.252448750015,232.33259058539988,227.71915959818787
6,NONE,NONE,1,-1,"(1, 0)",227.2824850846667,7.962096251414483e-05,227.29169145022897,4319.488385252525,218.09157772107852,226.51789733903868
7,NONE,NONE,1,-1,"(1, 0)",227.2641585031893,8.063674760726675e-05,227.27513525567022,26851.535677887336,224.59446814859245,227.04205016803084
8,NONE,NONE,1,-1,"(1, 0)",227.2482691704059,6.991814446604312e-05,227.25930624113812,28873.98838312651,229.29821892110883,227.4188293108773
9,NONE,NONE,1,-1,"(1, 0)",227.23419367909938,6.194074562435635e-05,227.24488966613225,18276.740245715024,231.82048282676362,227.61580624053553
10,NONE,NONE,1,-1,"(1, 0)",227.21801004083812,7.122261982928076e-05,227.22801539514373,8162.754362546919,220.26192017333207,226.6391716257601
11,NONE,NONE,1,-1,"(1, 0)",227.19941829012612,8.182675031048578e-05,227.20844013204857,3004.5140504527367,246.3362889544895,228.79198861924394
12,NONE,NONE,1,-1,"(1, 0)",227.18180970282896,7.750578686430316e-05,227.1891243223984,480.76510071474837,222.7983079987628,226.81698642709378
13,NONE,NONE,1,-1,"(1, 0)",227.1671181944811,6.467059764388112e-05,227.17448092590385,511.7526600923728,229.4259793183249,227.35512734015276
14,NONE,NONE,1,-1,"(1, 0)",227.1525466955932,6.414645906381087e-05,227.15960187430784,343.54526824486777,239.36601607772138,228.1691613163963
15,NONE,NONE,1,-1,"(1, 0)",227.13514499272577,7.661093705303894e-05,227.14177274400183,216.02874027734313,215.0527927760448,226.12936714301168
16,NONE,NONE,1,-1,"(1, 0)",227.1164593871996,8.226984938098451e-05,227.12194732469024,68.20465660438325,239.4303545140512,228.14159602431258
17,NONE,NONE,1,-1,"(1, 0)",227.1001153490303,7.196583782023416e-05,227.10507161045362,36.8856445217463,223.9041831953377,226.8340335857443
18,NONE,NONE,1,-1,"(1, 0)",227.08598934153312,6.220360929511352e-05,227.0903671727146,17.01237450621017,235.44426952624596,227.78191283642698
19,NONE,NONE,1,-1,"(1, 0)",227.07041661405734,6.857869790088603e-05,227.07465502994933,14.367433469775031,244.17715021340737,228.49484772015106
20,NONE,NONE,1,-1,"(1, 0)",227.05203605089932,8.094981016767406e-05,227.05581312583246,8.941090807478188,236.67442726833883,227.85333121713333
21,NONE,NONE,1,-1,"(1, 0)",227.03398273922716,7.951494181553638e-05,227.0359827864659,1.3905947073734668,231.52441562479353,227.4079488567148
22,NONE,NONE,1,-1,"(1, 0)",227.0188755738647,6.654364174311141e-05,227.0210577883209,1.7468782732503418,245.24086241137996,228.53651525686695
23,NONE,NONE,1,-1,"(1, 0)",227.00462730651242,6.276444838914587e-05,227.00679031363157,1.703117735101318,245.68107992376355,228.56021534099247
24,NONE,NONE,1,-1,"(1, 0)",226.98777168157096,7.425509760406799e-05,226.9878857341951,0.17103446562804586,220.1173311388948,226.41548052140072
25,NONE,NONE,1,-1,"(1, 0)",226.96900988100754,8.265897255475391e-05,226.96956208533913,0.2659649769790166,235.63801996874443,227.69117724630013
26,NONE,NONE,1,-1,"(1, 0)",226.9520975960025,7.451640707731815e-05,226.95164208975845,0.08620237865966823,220.66850849535837,226.42860747511932
27,NONE,NONE,1,-1,"(1, 0)",226.9378414602695,6.28175886309308e-05,226.9373465110808,0.08180048066332932,229.31853427251684,227.13619107196263
28,NONE,NONE,1,-1,"(1, 0)",226.92280018350473,6.628147669199507e-05,226.92278393634265,0.14929815678420236,227.1321454295278,226.9402431313635
29,NONE,NONE,1,-1,"(1, 0)",226.9047826512556,7.940254378581776e-05,226.9046583706882,0.13328506633176573,215.79997476602117,225.97944056905564
30,NONE,NONE,1,-1,"(1, 0)",226.88635826636028,8.120204756828255e-05,226.88577324808745,0.08305963782449556,243.5831954179324,228.27778627317318
31,NONE,NONE,1,-1,"(1, 0)",226.87075598376006,6.87693134339137e-05,226.87041285359885,0.1113393481763344,218.5433565184582,226.17674587929605
