n_row;new_switch;cur_switch;current_model_id;new_model_id;weights;ts;ret_ts;ts_n1_pre;ts_n2_pre;ts_n1_post;ts_n2_post
0;NONE;NONE;1;-1;(1, 0);22.747.200.646.944.400;0.00021096428091720623;2.274.729.129.275.800;3.251.128.847.934.590;2.367.328.291.139.370;22.824.176.856.558.800
1;NONE;NONE;1;-1;(1, 0);22.742.402.306.274.000;0.00021096428091720623;2.274.277.181.967.840;9.755.490.305.542.600;22.090.723.726.452.100;22.688.223.176.878.200
2;NONE;NONE;1;-1;(1, 0);22.737.604.977.775.400;0.00021096428091720623;22.738.017.249.398.200;11.547.428.630.256.800;2.267.332.253.503.360;22.732.259.548.743.500
3;NONE;NONE;1;-1;(1, 0);2.273.280.866.123.500;0.00021096428091720623;22.732.802.001.608.300;22.143.711.313.914.700;24.039.976.731.889.500;22.841.529.613.618.000
4;NONE;NONE;1;-1;(1, 0);22.731.538.127.642.500;5,59E+10;22.731.553.954.373.300;3.094.259.477.888.640;23.552.462.860.172.700;22.799.820.630.332.500
5;NONE;NONE;1;-1;(1, 0);22.730.058.225.533.900;6,51E+10;22.730.132.857.405.800;6.558.922.034.820.400;21.999.072.427.989.000;22.669.252.663.872.000
6;NONE;NONE;1;-1;(1, 0);2.272.824.850.846.660;7,96E+10;22.728.329.096.500.800;6.979.935.643.240.220;23.486.343.709.468.500;22.791.314.131.671.800
7;NONE;NONE;1;-1;(1, 0);2.272.641.585.031.890;8,06E+10;22.726.444.180.204.500;40.708.764.182.282.800;2.363.568.157.203.170;22.802.063.385.741.300
8;NONE;NONE;1;-1;(1, 0);2.272.482.691.704.050;6,99E+10;2.272.486.821.251.110;4.749.794.199.344.800;2.166.893.616.475.030;22.636.974.580.674.100
9;NONE;NONE;1;-1;(1, 0);22.723.419.367.909.900;6,19E+10;22.723.361.600.121.700;12.552.319.271.389.700;2.453.336.840.725.530;2.287.402.027.132.770
10;NONE;NONE;1;-1;(1, 0);22.721.801.004.083.800;7,12E+10;22.721.845.489.995.800;41.449.302.988.724.400;22.107.360.306.069.800;2.267.067.143.466.010
11;NONE;NONE;1;-1;(1, 0);22.719.941.829.012.600;8,18E+10;2.272.002.078.424.200;5.884.974.491.844.350;22.379.340.072.375.100;2.269.159.695.167.190
12;NONE;NONE;1;-1;(1, 0);22.718.180.970.282.800;7,75E+10;22.718.259.685.065.500;586.973.024.935.247;21.437.398.588.067.800;22.611.586.002.212.000
13;NONE;NONE;1;-1;(1, 0);2.271.671.181.944.810;6,47E+10;22.716.811.621.148.800;7.699.840.423.928.040;22.276.611.370.736.400;22.680.081.453.597.500
14;NONE;NONE;1;-1;(1, 0);2.271.525.466.955.930;6,41E+10;22.715.309.939.412.100;4.320.496.015.232.250;2.061.534.502.495.460;2.254.046.413.459.510
15;NONE;NONE;1;-1;(1, 0);22.713.514.499.272.500;7,66E+10;2.271.355.889.596.850;3.838.934.443.109.280;24.135.714.282.533.300;22.831.903.453.196.300
16;NONE;NONE;1;-1;(1, 0);2.271.164.593.871.990;8,23E+10;22.711.670.947.249.700;3.154.901.760.291.520;22.324.960.194.825.300;22.679.454.197.680.000
17;NONE;NONE;1;-1;(1, 0);2.271.001.153.490.300;7,20E+10;22.709.970.346.830.800;14.668.036.536.876.100;20.972.309.629.817.300;2.256.533.675.310.690
18;NONE;NONE;1;-1;(1, 0);22.708.598.934.153.300;6,22E+10;22.708.625.571.850.700;3.635.910.474.755.420;2.165.715.291.658.960;22.621.053.892.462.300
19;NONE;NONE;1;-1;(1, 0);22.707.041.661.405.700;6,86E+10;22.707.014.699.193.500;1.896.501.173.539.380;22.346.958.816.895.900;22.677.058.543.850.700
20;NONE;NONE;1;-1;(1, 0);22.705.203.605.089.900;8,09E+10;22.705.312.831.244.000;7.697.460.091.838.700;2.303.290.854.837.780;2.273.249.291.198.600
21;NONE;NONE;1;-1;(1, 0);22.703.398.273.922.700;7,95E+10;22.703.422.895.293.700;31.733.544.389.730.000;2.473.158.515.664.830;22.872.306.972.349.100
22;NONE;NONE;1;-1;(1, 0);2.270.188.755.738.640;6,65E+10;22.701.841.358.685.000;13.078.139.981.774.200;2.201.725.891.235.810;2.264.486.745.254.930
23;NONE;NONE;1;-1;(1, 0);22.700.462.730.651.200;6,28E+10;22.700.584.408.237.300;12.134.471.258.870.100;22.487.466.390.526.800;22.682.721.965.588.600
24;NONE;NONE;1;-1;(1, 0);22.698.777.168.157.000;7,43E+10;2.269.893.911.502.290;190.640.753.327.903;22.218.006.179.388.200;22.658.730.102.000.300
25;NONE;NONE;1;-1;(1, 0);22.696.900.988.100.700;8,27E+10;2.269.707.032.915.800;20.540.052.028.160.900;2.070.475.107.751.280;2.253.094.597.851.640
26;NONE;NONE;1;-1;(1, 0);2.269.520.975.960.020;7,45E+10;22.695.330.658.247.500;1.195.144.128.733.360;23.325.128.902.944.800;22.747.688.755.794.000
