n_row,new_switch,cur_switch,current_model_id,new_model_id,weights,ts,ret_ts,ts_n1_pre,ts_n2_pre,ts_n1_post,ts_n2_post
0,NONE,NONE,1,-1,"(1, 0)",227.47200646944404,0.00021096428091720623,227.46995526611985,101.37698289906685,217.08854738845957,226.60893052746354
1,NONE,NONE,1,-1,"(1, 0)",227.42402306274084,0.00021096428091720623,227.4235636613174,189.7624322096572,222.02227139535918,226.97493326354675
2,NONE,NONE,1,-1,"(1, 0)",227.37604977775482,0.00021096428091720623,227.37774939008958,444.3157218930003,222.03192104130926,226.9316568816561
3,NONE,NONE,1,-1,"(1, 0)",227.3280866123509,0.00021096428091720623,227.3301256742928,507.9043024982912,244.60077142031585,228.76470580822266
4,NONE,NONE,1,-1,"(1, 0)",227.31538127642594,5.589142625221152e-05,227.31661054878762,152.21403895839504,224.40092741887727,227.07296416377
5,NONE,NONE,1,-1,"(1, 0)",227.30058225533926,6.510559363963413e-05,227.3013304109774,82.32071904636962,203.49004473603225,225.31995128796
6,NONE,NONE,1,-1,"(1, 0)",227.2824850846667,7.962096251414483e-05,227.28302692176646,66.35640543136923,220.95711122907176,226.7562798749761
7,NONE,NONE,1,-1,"(1, 0)",227.2641585031893,8.063674760726675e-05,227.26461890229677,61.006593792363084,241.4855953807609,228.44732930163022
8,NONE,NONE,1,-1,"(1, 0)",227.2482691704059,6.991814446604312e-05,227.24905709810432,90.08070813623296,237.4068409066797,228.09348375273086
9,NONE,NONE,1,-1,"(1, 0)",227.23419367909938,6.194074562435635e-05,227.23533278898944,144.38213273955859,206.60780094407014,225.51792802044346
10,NONE,NONE,1,-1,"(1, 0)",227.21801004083812,7.122261982928076e-05,227.2196638461359,263.44100871245644,236.62706145241614,228.00096720645882
11,NONE,NONE,1,-1,"(1, 0)",227.19941829012612,8.182675031048578e-05,227.2029930112021,1858.4267944933163,229.52782348919982,227.39318816500509
12,NONE,NONE,1,-1,"(1, 0)",227.18180970282896,7.750578686430316e-05,227.1854670303783,2031.2523238902863,239.8113968293271,228.2329253764918
13,NONE,NONE,1,-1,"(1, 0)",227.1671181944811,6.467059764388112e-05,227.17080183226463,2101.71414207672,233.26484141155532,227.6746428583407
14,NONE,NONE,1,-1,"(1, 0)",227.1525466955932,6.414645906381087e-05,227.15562039906186,952.7048240353157,234.7121844906496,227.78178954788837
15,NONE,NONE,1,-1,"(1, 0)",227.13514499272577,7.661093705303894e-05,227.138704733928,1615.8125156211654,241.02386843799968,228.29129158997327
16,NONE,NONE,1,-1,"(1, 0)",227.1164593871996,8.226984938098451e-05,227.1190579940063,611.0816840391832,201.15598319126485,224.95523948145913
17,NONE,NONE,1,-1,"(1, 0)",227.1001153490303,7.196583782023416e-05,227.10163352465898,175.11604890177927,246.0255019975691,228.67577465847287
18,NONE,NONE,1,-1,"(1, 0)",227.08598934153312,6.220360929511352e-05,227.08730211617495,133.03055812588158,224.21869919266146,226.84725427436857
19,NONE,NONE,1,-1,"(1, 0)",227.07041661405734,6.857869790088603e-05,227.07216621958312,226.10733865260255,224.77064600387385,226.87892098018892
20,NONE,NONE,1,-1,"(1, 0)",227.05203605089932,8.094981016767406e-05,227.05297563693227,98.2782737933817,213.21057762898266,225.8994022121286
21,NONE,NONE,1,-1,"(1, 0)",227.03398273922716,7.951494181553638e-05,227.0353792832029,158.60200798793915,222.1078560886872,226.62373176683732
22,NONE,NONE,1,-1,"(1, 0)",227.0188755738647,6.654364174311141e-05,227.02082372641138,316.3462207162444,215.7983876164623,226.08436398966444
23,NONE,NONE,1,-1,"(1, 0)",227.00462730651242,6.276444838914587e-05,227.00594669957394,137.3522794285407,213.95699871330106,225.91787195024142
24,NONE,NONE,1,-1,"(1, 0)",226.98777168157096,7.425509760406799e-05,226.99000442449633,382.6614564254247,233.1066740595621,227.49746152156266
25,NONE,NONE,1,-1,"(1, 0)",226.96900988100754,8.265897255475391e-05,226.97176167708486,645.712807476366,215.08535559554232,225.97904825695517
26,NONE,NONE,1,-1,"(1, 0)",226.9520975960025,7.451640707731815e-05,226.9545255305819,449.63255279602924,246.4521016119284,228.57665631491565
27,NONE,NONE,1,-1,"(1, 0)",226.9378414602695,6.28175886309308e-05,226.94003279258166,328.5746903245239,207.4350518002824,225.31294859879213
28,NONE,NONE,1,-1,"(1, 0)",226.92280018350473,6.628147669199507e-05,226.92460996718313,203.4144827199976,215.16015123772382,225.9427193068666
29,NONE,NONE,1,-1,"(1, 0)",226.9047826512556,7.940254378581776e-05,226.9067402702478,237.56940454969975,215.58981935795217,225.961928726897
30,NONE,NONE,1,-1,"(1, 0)",226.88635826636028,8.120204756828255e-05,226.88826618884977,225.77532952672254,240.23365672340762,227.99865305128472
31,NONE,NONE,1,-1,"(1, 0)",226.87075598376006,6.87693134339137e-05,226.87234064392575,152.60862008249643,245.5447401129293,228.42705621052892
32,NONE,NONE,1,-1,"(1, 0)",226.85669734916235,6.196951275019529e-05,226.85866102115358,254.09128771605455,226.07086222334837,226.7912013539412
33,NONE,NONE,1,-1,"(1, 0)",226.8404317036507,7.170266010976875e-05,226.84224817648365,214.14929295788673,222.43048937256123,226.47285552484277
34,NONE,NONE,1,-1,"(1, 0)",226.82173371127115,8.243135009071447e-05,226.82321707970843,152.9167346037797,242.67368697012262,228.1431298427511
35,NONE,NONE,1,-1,"(1, 0)",226.80427285489392,7.698348918770516e-05,226.80499459329596,67.03262019675978,236.45883086351353,227.6091249478651
36,NONE,NONE,1,-1,"(1, 0)",226.78974933665842,6.403752046950067e-05,226.7899142927163,32.469560693206425,226.86908226046341,226.79636334827
37,NONE,NONE,1,-1,"(1, 0)",226.77516771733656,6.429782718467224e-05,226.77555185193648,43.14054803584279,223.53921947114685,226.50536831460278
38,NONE,NONE,1,-1,"(1, 0)",226.7576199664133,7.738250203079305e-05,226.7590766199346,137.0145287261407,227.7858018121887,226.84335196635354
39,NONE,NONE,1,-1,"(1, 0)",226.7389406399803,8.237913169001046e-05,226.73986793752837,80.18076047073828,232.45897115000562,227.21592830213046
40,NONE,NONE,1,-1,"(1, 0)",226.722782049379,7.126771588264478e-05,226.72403660898735,117.594027693054,240.9060856302181,227.90559793936404
41,NONE,NONE,1,-1,"(1, 0)",226.70877256033913,6.179318091964788e-05,226.71054327370217,236.0187315083671,230.64379221709413,227.03695360576233
42,NONE,NONE,1,-1,"(1, 0)",226.69310143826098,6.912685184190046e-05,226.69364931155366,53.97733712035592,230.62407965524454,227.02096809079637
43,NONE,NONE,1,-1,"(1, 0)",226.67461012709225,8.157312798105326e-05,226.67455450433548,29.119954563909367,247.24481936871885,228.3904262544317
44,NONE,NONE,1,-1,"(1, 0)",226.65665339298315,7.922124752237611e-05,226.65685151498576,38.035910648780565,203.95366686265018,224.76278658353354
45,NONE,NONE,1,-1,"(1, 0)",226.64174051904644,6.579716205652897e-05,226.6423843956582,66.93060877919574,245.34297126000797,228.2018863882131
46,NONE,NONE,1,-1,"(1, 0)",226.62751665088936,6.276123049053983e-05,226.6282286490091,73.27376472608606,220.97901039865133,226.15626174158587
47,NONE,NONE,1,-1,"(1, 0)",226.61052004473564,7.50007933385097e-05,226.6106558086669,38.59581992115118,232.91244727948967,227.13632930502362
48,NONE,NONE,1,-1,"(1, 0)",226.59172058803776,8.296277036232505e-05,226.59267390574783,87.82607015623282,211.86034500095425,225.36248767890385
49,NONE,NONE,1,-1,"(1, 0)",226.57497829622295,7.389021242584159e-05,226.576873934854,254.57254677923117,225.69301624575738,226.50137913498463
50,NONE,NONE,1,-1,"(1, 0)",226.56087177713823,6.226176581263052e-05,226.56253890812812,187.42835622802258,263.7570102809968,229.6650586830775
51,NONE,NONE,1,-1,"(1, 0)",226.54576390348944,6.66857311929982e-05,226.54708095220406,120.9441304776155,227.8022638996785,226.65063153499102
