n_row,new_switch,cur_switch,current_model_id,new_model_id,weights,ts,ts_mult,ret_ts,ts_n1_pre,ts_n2_pre,ts_n1_post,ts_n2_post
0,NONE,NONE,1,-1,"(1, 0)",227.5680036565447,227.76011958534653,0.00021096428091720623,227.56512146487597,73.13687788398707,248.64356154416524,229.3190707772986
1,NONE,NONE,1,-1,"(1, 0)",227.61601744121455,228.0004925876026,0.00021096428091720623,227.61476022102465,138.74327711640942,252.28934323918247,229.66557343011578
2,NONE,NONE,1,-1,"(1, 0)",227.6640413561465,228.24111927421885,0.00021096428091720623,227.6610362580717,69.74518525100305,227.51210127759654,227.65142270833624
3,NONE,NONE,1,-1,"(1, 0)",227.7120754034779,228.48199991292822,0.00021096428091720623,227.70735175471944,35.4775286318395,223.56900391780712,227.36806523586176
4,NONE,NONE,1,-1,"(1, 0)",227.72480291182302,228.54585975979788,5.589142625221152e-05,227.72137865938961,244.61004586664626,231.0817276157172,228.00352165745238
5,NONE,NONE,1,-1,"(1, 0)",227.73962955294647,228.62026993980584,6.510559363963413e-05,227.7365795765904,394.37333320039255,230.23944204796183,227.94717047324676
6,NONE,NONE,1,-1,"(1, 0)",227.7577631233507,228.7113028886453,7.962096251414483e-05,227.75618749310513,1835.1075895162764,225.42975694868707,227.56450139789726
7,NONE,NONE,1,-1,"(1, 0)",227.7761295091041,228.8035341584998,8.063674760726675e-05,227.77316745499536,440.4687672285615,232.7844087232367,228.1918632159764
8,NONE,NONE,1,-1,"(1, 0)",227.79205575019319,228.8835357343675,6.991814446604312e-05,227.7902432443013,1724.7863469603833,222.44149421673268,227.34794048346046
9,NONE,NONE,1,-1,"(1, 0)",227.80616579696255,228.95443279666574,6.194074562435635e-05,227.8044286994109,1908.58243901204,230.67279949265094,228.04409165299197
10,NONE,NONE,1,-1,"(1, 0)",227.82239132670938,229.03598098862014,7.122261982928076e-05,227.82108532044705,3154.7534313104557,232.47064084236558,228.20816087294205
11,NONE,NONE,1,-1,"(1, 0)",227.84103405536615,229.1297065105923,8.182675031048578e-05,227.8410560628751,12132.96929931502,244.87446171867697,229.25456402585968
12,NONE,NONE,1,-1,"(1, 0)",227.85869373834558,229.21851810899835,7.750578686430316e-05,227.85915915346396,19506.008022547987,226.0341035396489,227.7072906800609
13,NONE,NONE,1,-1,"(1, 0)",227.8734299727434,229.29264858629386,6.467059764388112e-05,227.87501401614688,81938.39085968882,225.78385932665554,227.70005025847158
14,NONE,NONE,1,-1,"(1, 0)",227.88804771522408,229.36620193861197,6.414645906381087e-05,227.88783510115684,8021.045074141465,223.57153937065445,227.5299133877315
