@relation timeseries_created_21-10-2019_prices_indicators

@attribute rsi_10 numeric
@attribute mom_10 numeric
@attribute ema_10 numeric
@attribute ema_20 numeric
@attribute ema_30 numeric
@attribute sma_10 numeric
@attribute sma_20 numeric
@attribute sma_30 numeric
@attribute wma_10 numeric
@attribute wma_20 numeric
@attribute wma_30 numeric
@attribute trima_10 numeric
@attribute trima_20 numeric
@attribute trima_30 numeric
@attribute roc_10 numeric
@attribute rocr_10 numeric
@attribute ppo_10 numeric
@attribute close numeric
@attribute close_t-1 numeric
@attribute close_t-2 numeric
@attribute close_t-3 numeric
@attribute close_t-4 numeric
@attribute label numeric

@data
100,0.166412,228.062382,227.977175,227.892174,228.06292,227.980427,227.892174,228.087446,228.032583,227.977061,228.06292,227.980478,227.896883,0.072997,1.00073,0.050561,228.136885,228.118771,228.103652,228.089323,228.072328,1
100,0.166483,228.079297,227.99415,227.909157,228.079568,227.997078,227.911754,228.104263,228.049248,227.994044,228.079447,227.99699,227.914111,0.073022,1.00073,0.050624,228.155411,228.136885,228.118771,228.103652,228.089323,1
100,0.164044,228.095989,228.011002,227.926057,228.095972,228.013581,227.930257,228.120905,228.065822,228.010777,228.09592,228.013479,227.93096,0.071947,1.000719,0.050675,228.171102,228.155411,228.136885,228.118771,228.103652,1
100,0.163011,228.112216,228.027596,227.942778,228.112273,228.029908,227.94763,228.137136,228.082171,228.027227,228.11237,228.029942,227.947544,0.071489,1.000715,0.050635,228.185242,228.171102,228.155411,228.136885,228.118771,1
100,0.165061,228.128469,228.044169,227.959477,228.12878,228.046317,227.963948,228.153378,228.098523,228.043613,228.128868,228.046418,227.964004,0.072384,1.000724,0.050565,228.201604,228.185242,228.171102,228.155411,228.136885,1
100,0.16694,228.145186,228.060954,227.976311,228.145474,228.062936,227.980468,228.170039,228.115103,228.060159,228.145409,228.062928,227.980494,0.073202,1.000732,0.050579,228.220416,228.201604,228.185242,228.171102,228.155411,1
100,0.165658,228.162059,228.077814,227.993194,228.162039,228.079559,227.99708,228.18686,228.131775,228.076773,228.161922,228.079441,227.996998,0.072634,1.000726,0.050653,228.237986,228.220416,228.201604,228.185242,228.171102,1
100,0.163279,228.178521,228.094461,228.00993,228.178367,228.095977,228.013575,228.203326,228.148255,228.093258,228.178382,228.095922,228.013487,0.071585,1.000716,0.050671,228.252602,228.237986,228.220416,228.201604,228.185242,1
100,0.163627,228.194659,228.11092,228.026533,228.19473,228.112308,228.029947,228.219491,228.16457,228.109626,228.194851,228.11239,228.029957,0.071733,1.000717,0.050602,228.267279,228.252602,228.237986,228.220416,228.201604,1
100,0.166172,228.211074,228.127493,228.043205,228.211347,228.128813,228.046376,228.235894,228.181011,228.126078,228.211378,228.128886,228.046437,0.072844,1.000728,0.050558,228.284943,228.267279,228.252602,228.237986,228.220416,1
100,0.166864,228.227924,228.14428,228.060014,228.228034,228.145477,228.062962,228.252694,228.197672,228.142682,228.227922,228.145409,228.062942,0.073142,1.000731,0.050608,228.30375,228.284943,228.267279,228.252602,228.237986,1
100,0.16461,228.244669,228.161017,228.076789,228.244494,228.162031,228.07955,228.269419,228.214295,228.159267,228.244416,228.161916,228.079448,0.072148,1.000721,0.050673,228.320021,228.30375,228.284943,228.267279,228.252602,1
100,0.163028,228.260935,228.177504,228.093391,228.260797,228.178385,228.095986,228.285717,228.230685,228.175691,228.260875,228.178392,228.095932,0.07145,1.000715,0.050648,228.33413,228.320021,228.30375,228.284943,228.267279,1
100,0.164673,228.277113,228.193924,228.109941,228.277265,228.194769,228.11236,228.30192,228.247022,228.192074,228.277372,228.194873,228.112408,0.072166,1.000722,0.050573,228.349915,228.33413,228.320021,228.30375,228.284943,1
100,0.166939,228.293737,228.210554,228.126625,228.293958,228.211369,228.128864,228.318516,228.263571,228.208602,228.293921,228.21139,228.128904,0.073154,1.000732,0.050568,228.368543,228.349915,228.33413,228.320021,228.30375,1
100,0.166219,228.310627,228.227324,228.1434,228.31058,228.228027,228.145484,228.335366,228.280264,228.225232,228.310455,228.227917,228.145419,0.072833,1.000728,0.050641,228.386635,228.368543,228.349915,228.33413,228.320021,1
100,0.163677,228.327179,228.243928,228.160062,228.326948,228.244494,228.162022,228.351927,228.2968,228.24176,228.326932,228.244415,228.161923,0.071713,1.000717,0.050676,228.401663,228.386635,228.368543,228.349915,228.33413,1
100,0.163396,228.343328,228.260315,228.176574,228.343288,228.260827,228.178414,228.368118,228.313134,228.258145,228.343404,228.260892,228.178405,0.071586,1.000716,0.050617,228.415998,228.401663,228.386635,228.368543,228.349915,1
100,0.165851,228.359656,228.276774,228.193126,228.359873,228.277301,228.194829,228.384453,228.329544,228.274579,228.359932,228.277392,228.194893,0.072657,1.000727,0.050558,228.43313,228.415998,228.401663,228.386635,228.368543,1
100,0.167139,228.376461,228.29347,228.209833,228.376587,228.293967,228.211404,228.401218,228.34619,228.291176,228.376491,228.293925,228.211404,0.073215,1.000732,0.050594,228.452082,228.43313,228.415998,228.401663,228.386635,1
